idx,iso_utc,iso_ct,t,ticker,asset,side,price,mid,fairValue,edgeCents,yesBid,yesAsk,inventoryBefore,inventory,scenarioId,reason,centerMode,captureCents,realizedDelta,cashAfter,minutesLeft,fillSize,spot,strike,queueAhead,source,spread,fv_vs_mid_cents,price_vs_mid_cents
1,2026-09-23T22:00:55.706Z,2026-09-23 17:00:55.706 CT,1790200855706,KXZEC15M-26SEP231815-15,ZEC,sell_yes,0.61,0.615,0.5343155556832612,-5.56844443167388,0.57,0.61,0,-1,house_mid,mid_walk,mid,0,0,100.61,14.090133333333334,1,1515.34,1514.8573,,ui,4.0,-8.0684,-0.5
2,2026-09-23T22:01:29.485Z,2026-09-23 17:01:29.485 CT,1790200889485,KXETH15M-26SEP231815-15,ETH,sell_yes,0.56,0.565,0.49761301139444686,-4.238698860555318,0.52,0.56,0,-1,house_mid,taker_cross,mid,0,0,100.56,13.51655,1,2677.1,2677.14,,ui,4.0,-6.7387,-0.5
3,2026-09-23T22:01:29.486Z,2026-09-23 17:01:29.486 CT,1790200889486,KXXRP15M-26SEP231815-15,XRP,sell_yes,0.52,0.525,0.4917945767888342,0.6794576788834217,0.47,0.51,0,-1,house_mid,taker_cross,mid,0,0,100.52,13.51655,1,1.4993,1.4994,,ui,4.0,-3.3205,-0.5
4,2026-09-23T22:01:58.080Z,2026-09-23 17:01:58.080 CT,1790200918080,KXZEC15M-26SEP231815-15,ZEC,buy_yes,0.56,0.5800000000000001,0.5357031699041208,-4.429683009587926,0.56,0.6,-1,0,S3,book_depth,mid,4.999999999999993,0.04999999999999993,100.05,13.053816666666666,1,1515.34,1514.8573,0,ui,4.0,-4.4297,-2.0
5,2026-09-23T22:03:13.738Z,2026-09-23 17:03:13.738 CT,1790200993738,KXHYPE15M-26SEP231815-15,HYPE,sell_yes,0.53,0.53,0.3750007527598554,-13.49992472401446,0.49,0.53,0,-1,house_mid,mid_walk,mid,0,0,100.53,11.779733333333333,1,93.59,93.6884,,ui,4.0,-15.4999,0.0
6,2026-09-23T22:04:49.523Z,2026-09-23 17:04:49.523 CT,1790201089523,KXZEC15M-26SEP231815-15,ZEC,sell_yes,0.46,0.44,0.5047441495910501,6.474414959105007,0.42,0.46,0,-1,house_mid,book_depth,mid,0,0,100.50999999999999,10.190766666666667,1,1514.92,1514.8573,0,ui,4.0,6.4744,2.0
7,2026-09-23T22:04:57.380Z,2026-09-23 17:04:57.380 CT,1790201097380,KXZEC15M-26SEP231815-15,ZEC,buy_yes,0.39,0.405,0.5047819942195652,9.478199421956512,0.39,0.43,-1,0,S3,book_depth,mid,7.000000000000001,0.07,100.11999999999999,10.062766666666667,1,1514.92,1514.8573,0,ui,4.0,9.9782,-1.5
8,2026-09-23T22:06:25.623Z,2026-09-23 17:06:25.623 CT,1790201185623,KXZEC15M-26SEP231815-15,ZEC,buy_yes,0.41,0.42,0.505272374253058,5.527237425305803,0.41,0.47,0,1,house_mid,book_depth,mid,0,0,99.71,8.590183333333334,1,1514.92,1514.8573,0,ui,6.0,8.5272,-1.0
9,2026-09-23T22:06:30.860Z,2026-09-23 17:06:30.860 CT,1790201190860,KXBTC15M-26SEP231815-15,BTC,sell_yes,0.24,0.245,0.42061643228732704,20.561643228732702,0.2,0.24,0,-1,house_mid,taker_cross,mid,0,0,100.24,8.504566666666667,1,84367.88,84415.13,,ui,4.0,17.5616,-0.5
10,2026-09-23T22:09:27.170Z,2026-09-23 17:09:27.170 CT,1790201367170,KXETH15M-26SEP231815-15,ETH,buy_yes,0,0.992,0.99,0.04999999999999449,0.97,0.99,-1,0,S3,taker_cross,mid,56.00000000000001,0.56,100.56,5.560883333333333,1,2694.71,2677.14,,ui,2.0,-0.2,-99.2
11,2026-09-23T22:10:51.906Z,2026-09-23 17:10:51.906 CT,1790201451906,KXHYPE15M-26SEP231815-15,HYPE,buy_yes,0,0.987,0.99,0.15000000000000568,0.97,0.99,-1,0,S3,taker_cross,mid,53,0.53,100.53,4.148516666666667,1,94.27,93.6884,,ui,2.0,0.3,-98.7
12,2026-09-23T22:11:22.710Z,2026-09-23 17:11:22.710 CT,1790201482710,KXXRP15M-26SEP231815-15,XRP,buy_yes,0,0.99,0.99,0.04999999999999449,0.97,0.99,-1,0,S3,taker_cross,mid,52,0.52,100.52,3.6342833333333333,1,1.5082,1.4994,,ui,2.0,0.0,-99.0
13,2026-09-23T22:11:26.046Z,2026-09-23 17:11:26.046 CT,1790201486046,KXBTC15M-26SEP231815-15,BTC,buy_yes,0,0.99,0.86919943135889,-11.980056864110999,0.97,0.99,-1,0,S3,taker_cross,mid,24,0.24,100.24,3.583066666666667,1,84588.59,84415.13,,ui,2.0,-12.0801,-99.0
14,2026-09-23T22:11:42.119Z,2026-09-23 17:11:42.119 CT,1790201502119,KXZEC15M-26SEP231815-15,ZEC,sell_yes,0.99,0.99,0.99,0.04999999999999449,0.97,0.99,1,0,S3,taker_cross,mid,58.00000000000001,0.5800000000000001,100.69999999999999,3.31765,1,1528.06,1514.8573,,ui,2.0,0.0,0.0
15,2026-09-23T22:16:15.176Z,2026-09-23 17:16:15.176 CT,1790201775176,KXSOL15M-26SEP231830-30,SOL,sell_yes,0.39,0.395,0.36839231939988326,1.339231939988328,0.34,0.38,0,-1,house_mid,taker_cross,mid,0,0,100.39,13.764316666666666,1,115.2,115.338,,ui,4.0,-2.6608,-0.5
16,2026-09-23T22:17:54.137Z,2026-09-23 17:17:54.137 CT,1790201874137,KXXRP15M-26SEP231830-30,XRP,buy_yes,0.36,0.355,0.38291206632172925,-0.7087933678270764,0.37,0.41,0,1,house_mid,taker_cross,mid,0,0,99.64,12.1057,1,1.5074,1.5089,,ui,4.0,2.7912,0.5
17,2026-09-23T22:18:03.089Z,2026-09-23 17:18:03.089 CT,1790201883089,KXETH15M-26SEP231830-30,ETH,sell_yes,0.45,0.455,0.43521403877553033,2.021403877553035,0.39,0.44,0,-1,house_mid,taker_cross,mid,0,0,100.45,11.951516666666667,1,2688.94,2690.39,,ui,5.0,-1.9786,-0.5
18,2026-09-23T22:18:03.988Z,2026-09-23 17:18:03.988 CT,1790201883988,KXBTC15M-26SEP231830-30,BTC,buy_yes,0.34,0.335,0.5112373597666735,15.623735976667351,0.34,0.38,0,1,house_mid,taker_cross,mid,0,0,99.89999999999999,11.942933333333333,1,84599.54,84591.12,,ui,4.0,17.6237,0.5
19,2026-09-23T22:19:04.034Z,2026-09-23 17:19:04.034 CT,1790201944034,KXBNB15M-26SEP231830-30,BNB,sell_yes,0.5,0.51,0.42820553878467477,-3.1794461215325196,0.44,0.48,0,-1,house_mid,taker_cross,mid,0,0,100.5,10.95025,1,767.89,768.33,,ui,4.0,-8.1794,-1.0
20,2026-09-23T22:25:42.163Z,2026-09-23 17:25:42.163 CT,1790202342163,KXSOL15M-26SEP231830-30,SOL,buy_yes,0.01,0.0115,0.13142667976821354,11.242667976821354,0.01,0.04,-1,0,S3,taker_cross,mid,38,0.38,100.38,4.3014833333333335,1,115.08,115.338,,ui,3.0,11.9927,-0.15
21,2026-09-23T22:26:31.566Z,2026-09-23 17:26:31.566 CT,1790202391566,KXBNB15M-26SEP231830-30,BNB,buy_yes,0.01,0.011,0.2598246593514198,24.28246593514198,0.01,0.04,-1,0,S3,taker_cross,mid,49,0.49,100.49,3.4877333333333334,1,767.44,768.33,,ui,3.0,24.8825,-0.1
22,2026-09-23T22:27:35.808Z,2026-09-23 17:27:35.808 CT,1790202455808,KXETH15M-26SEP231830-30,ETH,buy_yes,0.01,0.0115,0.2626768771846804,24.61768771846804,0.01,0.04,-1,0,S3,taker_cross,mid,44,0.44,100.44,2.4173666666666667,1,2687.83,2690.39,,ui,3.0,25.1177,-0.15
23,2026-09-23T22:28:08.102Z,2026-09-23 17:28:08.102 CT,1790202488102,KXXRP15M-26SEP231830-30,XRP,sell_yes,0.01,0.006,0.01,0.4,0.01,0.01,1,0,flatten,book_depth,mid,-35,-0.35,99.65,1.8791833333333334,1,1.503,1.5089,0,ui,0.0,0.4,0.4
24,2026-09-23T22:28:27.002Z,2026-09-23 17:28:27.002 CT,1790202507002,KXBTC15M-26SEP231830-30,BTC,sell_yes,0.01,0.007,0.18690355818107915,18.040355818107916,0.01,0.01,1,0,flatten,book_depth,mid,-33,-0.33,99.91,1.56255,1,84500.46,84591.12,0,ui,0.0,17.9904,0.3
25,2026-09-23T22:30:20.614Z,2026-09-23 17:30:20.614 CT,1790202620614,KXSOL15M-26SEP231845-45,SOL,buy_yes,0.29,0.28500000000000003,0.43682025216681275,11.682025216681275,0.3,0.34,0,1,house_mid,taker_cross,mid,0,0,99.71,14.671033333333334,1,114.85,114.9168,,ui,4.0,15.182,0.5
26,2026-09-23T22:30:21.436Z,2026-09-23 17:30:21.436 CT,1790202621436,KXDOGE15M-26SEP231845-45,DOGE,buy_yes,0.3,0.295,0.41028785760605924,8.528785760605922,0.31,0.35,0,1,house_mid,taker_cross,mid,0,0,99.7,14.653966666666667,1,0.0926,0.092677,,ui,4.0,11.5288,0.5
27,2026-09-23T22:30:54.240Z,2026-09-23 17:30:54.240 CT,1790202654240,KXETH15M-26SEP231845-45,ETH,buy_yes,0.23,0.225,0.38105963221032313,13.605963221032313,0.23,0.27,0,1,house_mid,taker_cross,mid,0,0,99.77,14.105816666666666,1,2684.77,2687.7,,ui,4.0,15.606,0.5
28,2026-09-23T22:31:49.066Z,2026-09-23 17:31:49.066 CT,1790202709066,KXHYPE15M-26SEP231845-45,HYPE,buy_yes,0.16,0.175,0.3801151511334115,20.51151511334115,0.16,0.19,0,1,house_mid,book_depth,mid,0,0,99.84,13.192383333333334,1,93.77,93.8698,0,ui,3.0,20.5115,-1.5
29,2026-09-23T22:42:43.006Z,2026-09-23 17:42:43.006 CT,1790203363006,KXBTC15M-26SEP231845-45,BTC,buy_yes,0.35,0.345,0.5025534042248598,13.755340422485984,0.35,0.39,0,1,house_mid,taker_cross,mid,0,0,99.56,2.29025,1,84485.85,84484.97,,ui,4.0,15.7553,0.5
30,2026-09-23T22:43:01.163Z,2026-09-23 17:43:01.163 CT,1790203381163,KXBTC15M-26SEP231845-45,BTC,sell_yes,0.43,0.435,0.562185324354368,19.7185324354368,0.34,0.43,1,0,flatten,taker_cross,mid,8.000000000000002,0.08000000000000002,99.99000000000001,1.9912,1,84503.06,84484.97,,ui,9.0,12.7185,-0.5
31,2026-09-23T22:43:01.164Z,2026-09-23 17:43:01.164 CT,1790203381164,KXSOL15M-26SEP231845-45,SOL,sell_yes,0.052,0.051000000000000004,0.3344731508414637,25.747315084146365,0.04,0.05,1,0,flatten,taker_cross,mid,-23.799999999999997,-0.238,99.762,1.9912,1,114.85,114.9168,,ui,1.0,28.3473,0.1
32,2026-09-23T22:43:01.164Z,2026-09-23 17:43:01.164 CT,1790203381164,KXDOGE15M-26SEP231845-45,DOGE,sell_yes,0.01,0.01,0.017046170597131594,0.2046170597131594,0.01,0.01,1,0,flatten,taker_cross,mid,-28.999999999999996,-0.29,99.71000000000001,1.9912,1,0.09241,0.092677,,ui,0.0,0.7046,0.0
