idx,iso_utc,iso_ct,t,ticker,asset,side,price,mid,fairValue,edgeCents,yesBid,yesAsk,inventoryBefore,inventory,scenarioId,reason,centerMode,captureCents,realizedDelta,cashAfter,minutesLeft,fillSize,spot,strike,queueAhead,source,spread,fv_vs_mid_cents,price_vs_mid_cents
1,2026-09-23T23:26:54.323Z,2026-09-23 18:26:54.323 CT,1790206014323,KXZEC15M-26SEP231930-30,ZEC,buy_yes,0.72,0.72,0.5595702638086966,-17.542973619130343,0.72,0.76,0,1,house_mid,mid_walk,mid,0,0,99.28,3.1034,1,1497.04,1496.6553,,ui,4.0000000000000036,-16.04297361913034,0.0
2,2026-09-23T23:26:56.324Z,2026-09-23 18:26:56.324 CT,1790206016324,KXHYPE15M-26SEP231930-30,HYPE,sell_yes,0.14,0.15500000000000003,0.7583738506921474,64.53738506921474,0.09,0.14,0,-1,house_mid,taker_cross,mid,0,0,100.14,3.069366666666667,1,94.07,93.9581,,ui,5.000000000000002,60.33738506921473,-1.5000000000000013
3,2026-09-23T23:28:00.746Z,2026-09-23 18:28:00.746 CT,1790206080746,KXZEC15M-26SEP231930-30,ZEC,sell_yes,0.98,0.9835,0.99,1.100000000000001,0.96,0.98,1,0,flatten,mid_walk,mid,26,0.26,100.26,1.9977,1,1502.46,1496.6553,,ui,2.0000000000000018,0.649999999999995,-0.35000000000000586
4,2026-09-23T23:28:00.750Z,2026-09-23 18:28:00.750 CT,1790206080750,KXHYPE15M-26SEP231930-30,HYPE,buy_yes,0.56,0.555,0.8083380230595252,25.333802305952513,0.56,0.58,-1,0,flatten,taker_cross,mid,-42.00000000000001,-0.42000000000000004,99.58,1.9977,1,94.07,93.9581,,ui,1.9999999999999907,25.333802305952513,0.5000000000000004
5,2026-09-23T23:30:16.191Z,2026-09-23 18:30:16.191 CT,1790206216191,KXZEC15M-26SEP231945-45,ZEC,sell_yes,0.53,0.515,0.5245399236075134,1.9539923607513443,0.49,0.53,0,-1,house_mid,book_depth,mid,0,0,100.79,14.7382,1,1500.55,1500.1975,0,ui,4.0000000000000036,0.9539923607513434,1.5000000000000013
6,2026-09-23T23:30:32.262Z,2026-09-23 18:30:32.262 CT,1790206232262,KXNEAR15M-26SEP231945-45,NEAR,buy_yes,0.45,0.445,0.6495951596887739,17.959515968877394,0.45,0.49,0,1,house_mid,taker_cross,mid,0,0,99.55,14.473233333333333,1,4.306,4.2999,,ui,3.9999999999999982,20.45951596887739,0.5000000000000004
7,2026-09-23T23:31:03.482Z,2026-09-23 18:31:03.482 CT,1790206263482,KXXRP15M-26SEP231945-45,XRP,sell_yes,0.39,0.395,0.5140091432567677,14.900914325676773,0.35,0.39,0,-1,house_mid,taker_cross,mid,0,0,100.39,13.951166666666667,1,1.5015,1.5013,,ui,4.0000000000000036,11.90091432567677,-0.5000000000000004
8,2026-09-23T23:31:15.445Z,2026-09-23 18:31:15.445 CT,1790206275445,KXNEAR15M-26SEP231945-45,NEAR,sell_yes,0.47,0.44999999999999996,0.6532934226309499,21.32934226309499,0.42,0.47,1,0,house_cover,book_depth,mid,1.9999999999999962,0.019999999999999962,100.02,13.754833333333334,1,4.306,4.2999,0,ui,4.999999999999999,20.329342263094997,2.0000000000000018
9,2026-09-23T23:31:28.520Z,2026-09-23 18:31:28.520 CT,1790206288520,KXDOGE15M-26SEP231945-45,DOGE,buy_yes,0.48,0.48,0.4786741655740341,-2.1325834425965917,0.48,0.52,0,1,house_mid,mid_walk,mid,0,0,99.52,13.532116666666667,1,0.09259,0.092607,,ui,4.0000000000000036,-0.13258344259658994,0.0
10,2026-09-23T23:41:31.615Z,2026-09-23 18:41:31.615 CT,1790206891615,KXXRP15M-26SEP231945-45,XRP,buy_yes,0.01,0.011,0.5153713119057921,29.037131190579213,0.01,0.25,-1,0,house_cover,taker_cross,mid,38,0.38,100.38,11.788183333333333,1,1.5015,1.5013,,ui,24.0,50.43713119057921,-0.09999999999999992
11,2026-09-23T23:41:31.619Z,2026-09-23 18:41:31.619 CT,1790206891619,KXZEC15M-26SEP231945-45,ZEC,buy_yes,0.01,0.008,0.23141163189382538,-9.858836810617463,0.01,0.35,-1,0,house_cover,taker_cross,mid,52,0.52,100.78,11.788183333333333,1,1496.56,1500.1975,,ui,34.0,22.341163189382538,0.2
12,2026-09-23T23:45:28.442Z,2026-09-23 18:45:28.442 CT,1790207128442,KXDOGE15M-26SEP232000-00,DOGE,sell_yes,0.001,0.001,,,0.66,0.7,,0,house_mid,settlement,mid,,,99.521,14.5341,1,,0.092464,,ui,3.9999999999999925,,0.0
13,2026-09-23T23:47:44.783Z,2026-09-23 18:47:44.783 CT,1790207264783,KXDOGE15M-26SEP232000-00,DOGE,sell_yes,0.79,0.8,0.6971485608790464,-5.285143912095358,0.73,0.77,0,-1,house_mid,taker_cross,mid,0,0,100.311,12.872866666666667,1,0.09263,0.092464,,ui,4.0000000000000036,-10.285143912095362,-1.0000000000000009
14,2026-09-23T23:48:43.401Z,2026-09-23 18:48:43.401 CT,1790207323401,KXZEC15M-26SEP232000-00,ZEC,buy_yes,0.76,0.755,0.8275308015531081,5.2530801553108075,0.76,0.8,0,1,house_mid,taker_cross,mid,0,0,100.02,11.87605,1,1498.44,1493.72,,ui,4.0000000000000036,7.253080155310809,0.5000000000000004
15,2026-09-23T23:49:12.530Z,2026-09-23 18:49:12.530 CT,1790207352530,KXDOGE15M-26SEP232000-00,DOGE,buy_yes,0.71,0.725,0.7135775614516588,-1.142243854834113,0.71,0.75,-1,0,house_cover,book_depth,mid,8.000000000000007,0.08000000000000007,99.60100000000001,10.8008,1,0.09263,0.092464,0,ui,4.0000000000000036,-1.142243854834113,-1.5000000000000013
16,2026-09-23T23:49:12.531Z,2026-09-23 18:49:12.531 CT,1790207352531,KXXRP15M-26SEP232000-00,XRP,buy_yes,0.82,0.815,0.662461900857889,-17.253809914211093,0.82,0.86,0,1,house_mid,taker_cross,mid,0,0,99.56,10.8008,1,1.4994,1.4974,,ui,4.0000000000000036,-15.253809914211091,0.5000000000000004
17,2026-09-23T23:49:12.532Z,2026-09-23 18:49:12.532 CT,1790207352532,KXNEAR15M-26SEP232000-00,NEAR,sell_yes,0.79,0.77,0.8774124178481426,11.24124178481426,0.75,0.79,0,-1,house_mid,book_depth,mid,0,0,100.81,10.8008,1,4.288,4.2722,0,ui,4.0000000000000036,10.74124178481426,2.0000000000000018
18,2026-09-23T23:50:19.757Z,2026-09-23 18:50:19.757 CT,1790207419757,KXZEC15M-26SEP232000-00,ZEC,sell_yes,0.92,0.905,0.8529076109094242,-4.709238909057579,0.88,0.92,1,0,house_cover,book_depth,mid,16.000000000000004,0.16000000000000003,100.94,9.681666666666667,1,1498.44,1493.72,0,ui,4.0000000000000036,-5.209238909057579,1.5000000000000013
19,2026-09-23T23:50:28.775Z,2026-09-23 18:50:28.775 CT,1790207428775,KXZEC15M-26SEP232000-00,ZEC,buy_yes,0.9,0.895,0.8548492971460692,-6.015070285393087,0.9,0.94,0,1,house_mid,mid_walk,mid,0,0,100.03999999999999,9.527533333333333,1,1498.44,1493.72,,ui,3.9999999999999925,-4.015070285393085,0.5000000000000004
20,2026-09-23T23:50:32.822Z,2026-09-23 18:50:32.822 CT,1790207432822,KXNEAR15M-26SEP232000-00,NEAR,buy_yes,0.78,0.8,0.8928886929843987,8.28886929843986,0.78,0.83,-1,0,house_cover,book_depth,mid,1.0000000000000009,0.010000000000000009,100.03,9.45925,1,4.288,4.2722,0,ui,4.999999999999993,9.288869298439861,-2.0000000000000018
21,2026-09-23T23:51:35.481Z,2026-09-23 18:51:35.481 CT,1790207495481,KXNEAR15M-26SEP232000-00,NEAR,sell_yes,0.86,0.84,0.905569680475266,6.556968047526601,0.82,0.86,0,-1,house_mid,book_depth,mid,0,0,100.89,8.419983333333333,1,4.288,4.2722,0,ui,4.0000000000000036,6.556968047526601,2.0000000000000018
