idx,iso_utc,iso_ct,t,ticker,asset,side,price,mid,fairValue,edgeCents,yesBid,yesAsk,inventoryBefore,inventory,scenarioId,reason,centerMode,captureCents,realizedDelta,cashAfter,minutesLeft,fillSize,spot,strike,queueAhead,source,spread,fv_vs_mid_cents,price_vs_mid_cents,is_open_increase
1,2026-09-24T00:40:30.163Z,2026-09-23 19:40:30.163 CT,1790210430163,KXXRP15M-26SEP232045-45,XRP,buy_yes,0.48,0.475,0.48666574563071563,-0.8334254369284366,0.48,0.52,0,1,house_mid,taker_cross,mid,0,0,99.52,4.504283333333333,1,1.5036,1.5037,,ui,4.0,1.1666,0.5,True
2,2026-09-24T00:40:33.223Z,2026-09-23 19:40:33.223 CT,1790210433223,KXNEAR15M-26SEP232045-45,NEAR,buy_yes,0.87,0.87,0.99,10.499999999999998,0.87,0.91,0,1,house_mid,mid_walk,mid,0,0,99.13,4.453033333333333,1,4.35,4.3088,,ui,4.0,12.0,0.0,True
3,2026-09-24T00:40:35.264Z,2026-09-23 19:40:35.264 CT,1790210435264,KXXRP15M-26SEP232045-45,XRP,sell_yes,0.49,0.485,0.4865213743959328,2.1521374395932824,0.44,0.49,1,0,house_cover,book_depth,mid,1.0000000000000009,0.010000000000000009,100.00999999999999,4.418816666666666,1,1.5036,1.5037,0,ui,5.0,0.1521,0.5,False
4,2026-09-24T00:40:37.234Z,2026-09-23 19:40:37.234 CT,1790210437234,KXBNB15M-26SEP232045-45,BNB,sell_yes,0.14,0.14500000000000002,0.37334033481272844,24.834033481272844,0.11,0.14,0,-1,house_mid,taker_cross,mid,0,0,100.14,4.384633333333333,1,768.02,768.52,,ui,3.0,22.834,-0.5,True
5,2026-09-24T00:40:40.203Z,2026-09-23 19:40:40.203 CT,1790210440203,KXNEAR15M-26SEP232045-45,NEAR,sell_yes,0.93,0.9175,0.99,7.399999999999995,0.89,0.93,1,0,house_cover,book_depth,mid,6.000000000000005,0.06000000000000005,100.06,4.34175,1,4.35,4.3088,0,ui,4.0,7.25,1.25,False
6,2026-09-24T00:40:51.263Z,2026-09-23 19:40:51.263 CT,1790210451263,KXNEAR15M-26SEP232045-45,NEAR,sell_yes,0.95,0.925,0.99,6.499999999999995,0.9,0.95,0,-1,house_mid,book_depth,mid,0,0,101.01,4.153033333333333,1,4.35,4.3088,0,ui,5.0,6.5,2.5,True
7,2026-09-24T00:41:13.372Z,2026-09-23 19:41:13.372 CT,1790210473372,KXNEAR15M-26SEP232045-45,NEAR,buy_yes,0.89,0.905,0.99,7.9999999999999964,0.89,0.93,-1,0,flatten,book_depth,mid,5.999999999999995,0.05999999999999994,100.12,3.7850333333333332,1,4.35,4.3088,0,ui,4.0,8.5,-1.5,False
8,2026-09-24T00:43:00.798Z,2026-09-23 19:43:00.798 CT,1790210580798,KXBNB15M-26SEP232045-45,BNB,buy_yes,0.15,0.14,0.3163744589124787,17.137445891247864,0.15,0.17,-1,0,flatten,taker_cross,mid,-0.9999999999999981,-0.009999999999999981,99.99,1.9966666666666666,1,768.02,768.52,,ui,2.0,17.6374,1.0,False
9,2026-09-24T00:45:34.456Z,2026-09-23 19:45:34.456 CT,1790210734456,KXZEC15M-26SEP232100-00,ZEC,sell_yes,0.51,0.49,0.6267375195315161,14.673751953151616,0.46,0.51,0,-1,house_mid,book_depth,mid,0,0,100.51,14.430666666666667,1,1513.66,1511.857,0,ui,5.0,13.6738,2.0,True
10,2026-09-24T00:45:46.552Z,2026-09-23 19:45:46.552 CT,1790210746552,KXZEC15M-26SEP232100-00,ZEC,buy_yes,0.44,0.45,0.6275925203571058,16.75925203571058,0.44,0.48,-1,0,house_cover,book_depth,mid,7.000000000000001,0.07,100.07000000000001,14.233266666666667,1,1513.66,1511.857,0,ui,4.0,17.7593,-1.0,False
11,2026-09-24T00:46:06.674Z,2026-09-23 19:46:06.674 CT,1790210766674,KXZEC15M-26SEP232100-00,ZEC,buy_yes,0.52,0.52,0.6290794721308997,9.407947213089962,0.52,0.56,0,1,house_mid,mid_walk,mid,0,0,99.55000000000001,13.899116666666666,1,1513.66,1511.857,,ui,4.0,10.9079,0.0,True
12,2026-09-24T00:46:16.696Z,2026-09-23 19:46:16.696 CT,1790210776696,KXZEC15M-26SEP232100-00,ZEC,sell_yes,0.57,0.56,0.629857332995921,8.485733299592091,0.52,0.57,1,0,house_cover,book_depth,mid,4.999999999999993,0.04999999999999993,100.12,13.7288,1,1513.66,1511.857,0,ui,5.0,6.9857,1.0,False
13,2026-09-24T00:46:21.691Z,2026-09-23 19:46:21.691 CT,1790210781691,KXSOL15M-26SEP232100-00,SOL,sell_yes,0.46,0.46499999999999997,0.48684251172397736,5.184251172397736,0.42,0.46,0,-1,house_mid,taker_cross,mid,0,0,100.46,13.643633333333334,1,115.05,115.0628,,ui,4.0,2.1843,-0.5,True
14,2026-09-24T00:46:35.736Z,2026-09-23 19:46:35.736 CT,1790210795736,KXBNB15M-26SEP232100-00,BNB,sell_yes,0.47,0.475,0.4714067463961537,3.640674639615371,0.42,0.46,0,-1,house_mid,taker_cross,mid,0,0,100.47,13.4124,1,768.13,768.32,,ui,4.0,-0.3593,-0.5,True
15,2026-09-24T00:46:37.748Z,2026-09-23 19:46:37.748 CT,1790210797748,KXZEC15M-26SEP232100-00,ZEC,sell_yes,0.67,0.66,0.6579725494757113,1.2972549475711248,0.63,0.67,0,-1,house_mid,book_depth,mid,0,0,100.79,13.378383333333334,1,1514.04,1511.857,0,ui,4.0,-0.2027,1.0,True
16,2026-09-24T00:47:02.862Z,2026-09-23 19:47:02.862 CT,1790210822862,KXZEC15M-26SEP232100-00,ZEC,buy_yes,0.49,0.5,0.6603851277125017,15.538512771250168,0.49,0.53,-1,0,house_cover,book_depth,mid,18.000000000000004,0.18000000000000005,100.30000000000001,12.959633333333333,1,1514.04,1511.857,0,ui,4.0,16.0385,-1.0,False
